ned,M
ksa,M
ksa,M
mkd,M
usa,M
cub,M
cub,M
ksa,M
ksa,M
usa,M
kaz,M
ukr,M
ger,M
rus,M
gbr,M
slo,M
kos,M
mgl,M
gbr,M
pol,M
mgl,M
hkg,M
col,M
gbr,M
esp,M
col,M
can,M
esp,M
cze,M
kaz,M
srb,M
col,M
bul,M
cro,M
slo,M
kor,M
srb,M
kos,M
col,M
chn,M
fra,M
rou,M
rou,M
cub,M
alb,M
kos,M
srb,M
kor,M
irq,M
chi,M
kor,M
chi,M
chi,M
srb,M
bul,M
slo,M
pol,M
cze,M
chi,M
chi,M
col,M
can,M
tha,M
cze,M
fra,M
col,M
chi,M
chi,M
cro,M
hun,M
pol,M
cze,M
hun,M
rou,M
ger,M
slo,M
cro,M
esp,M
mkd,M
slo,M
slo,M
gbr,M
pol,M
rou,M
bul,M
srb,M
iri,M
ksa,M
mas,M
ksa,M
iri,M
mgl,M
ksa,M
col,M
est,M
cro,M
hkg,M
fra,M
ind,M
pol,M
usa,M
cub,M
cze,M
chn,M
cze,M
cro,M
chi,M
ksa,M
slo,M
jpn,M
chi,M
esp,M
fra,M
hun,M
tha,M
ger,M
mas,M
ind,M
tha,M
ita,M
cro,M
kor,M
bel,M
pol,M
ger,M
bul,M
kos,M
est,M
cze,M
cze,M
esp,M
esp,M
alb,M
chn,M
bul,M
jpn,M
chn,M
fra,M
est,M
gbr,M
esp,F
esp,F
mgl,F
chi,F
fra,F
tha,F
kor,F
cro,F
kor,F
cro,F
cro,F
rou,F
chi,F
chn,F
hun,F
col,F
cze,F
fra,F
chn,F
bul,F
cze,F
esp,F
cze,F
iri,F
col,F
gbr,F
iri,F
col,F
tha,F
kaz,F
esp,F
nep,F
slo,F
gbr,F
bul,F
esp,F
iri,F
jpn,F
tpe,F
